=== NYAM NYAM VERIFICATION START ===
Using collection: raw_data
Found 798 rows for testing.
Running Flow 1 for Nyam Nyam rows...

--- Flow 1 completed. Checking single_stock_data ---
Found 798 master lines in Flow 1 output.
  - ITEM: ARNOTT'S NYAM NYAM SUGAR RICE 27 GM | UPC: 8886015402037 | MERGED_COUNT: 1
  - ITEM: ARNOTT'S NYAM NYAM SUGAR RICE 27 GM | UPC: 8886015402037 | MERGED_COUNT: 1
  - ITEM: ARNOTT'S NYAM NYAM SUGAR RICE 27 GM | UPC: 8886015402037 | MERGED_COUNT: 1
  - ITEM: ARNOTT'S NYAM NYAM SUGAR RICE 27 GM | UPC: 8886015402037 | MERGED_COUNT: 1
  - ITEM: ARNOTT'S NYAM NYAM SUGAR RICE 27 GM | UPC: 8886015402037 | MERGED_COUNT: 1
  - ITEM: ARNOTT'S NYAM NYAM SUGAR RICE 27 GM | UPC: 8886015402037 | MERGED_COUNT: 1
  - ITEM: ARNOTT'S NYAM NYAM SUGAR RICE 27 GM | UPC: 8886015402037 | MERGED_COUNT: 1
  - ITEM: ARNOTTS NYAM NYAM CHOCOLATE 12SX27G | UPC: 200068764912 | MERGED_COUNT: 1
  - ITEM: ARNOTTS NYAM NYAM CHOCOLATE 12SX27G | UPC: 200068764912 | MERGED_COUNT: 1
  - ITEM: ARNOTTS NYAM NYAM CHOCOLATE 12SX27G | UPC: 200068764912 | MERGED_COUNT: 1
  - ITEM: ARNOTTS NYAM NYAM CHOCOLATE 12SX27G | UPC: 200068764912 | MERGED_COUNT: 1
  - ITEM: ARNOTTS NYAM NYAM CHOCOLATE 12SX27G | UPC: 200068764912 | MERGED_COUNT: 1
  - ITEM: ARNOTTS NYAM NYAM CHOCOLATE 12SX27G | UPC: 200068764912 | MERGED_COUNT: 1
  - ITEM: ARNOTTS NYAM NYAM CHOCOLATE 12SX27G | UPC: 200068764912 | MERGED_COUNT: 1
  - ITEM: ARNOTTS NYAM NYAM CHOCOLATE 12SX27G | UPC: 200068764912 | MERGED_COUNT: 1
  - ITEM: ARNOTTS NYAM NYAM CHOCOLATE 12SX27G | UPC: 200068764912 | MERGED_COUNT: 1
  - ITEM: ARNOTTS NYAM NYAM CHOCOLATE 12SX27G | UPC: 200068764912 | MERGED_COUNT: 1
  - ITEM: ARNOTTS NYAM NYAM CHOCOLATE 12SX27G | UPC: 200068764912 | MERGED_COUNT: 1
  - ITEM: ARNOTTS NYAM NYAM CHOCOLATE 12SX27G | UPC: 200068764912 | MERGED_COUNT: 1
